ID_client;name;cluster;ID_sector;phone;email;register_date;zipcode;state;city;No;street;visit_day
10001-019;Alpha Corporation 095;C;201;+001 100 190-7562;Alpha_Corporation_095@outlook.com;2007-08-27;10001;NY; New York City;589;Elm St;5,0
10001-020;Essential Company 070;D;201;+001 100 446-9263;Essential_Company_070@outlook.com;2020-10-30;10001;NY; New York City;619;14th St;6,0
10001-021;Beta Store 088;D;201;+001 100 626-6294;Beta_Store_088@outlook.com;2004-02-15;10001;NY; New York City;641;Elm St;7,0
10001-022;High Tech Techno 056;D;201;+001 100 431-7284;High_Tech_Techno_056@outlook.com;2005-02-06;10001;NY; New York City;661;Dogwood St;1,0
10001-023;High Tech Tech 068;D;201;+001 100 898-1686;High_Tech_Tech_068@outlook.com;2004-07-26;10001;NY; New York City;672;Highland St;2,0
10001-024;Beta Company 090;D;201;+001 100 626-4747;Beta_Company_090@outlook.com;2015-03-06;10001;NY; New York City;682;14th St;3,0
10001-025;High Tech Company 085;C;201;+001 100 909-1294;High_Tech_Company_085@outlook.com;2001-09-09;10001;NY; New York City;684;Ridge St;4,0
10001-026;Beta Store 045;D;201;+001 100 853-2405;Beta_Store_045@gmail.com.br;2019-10-28;10001;NY; New York City;717;Washington St;5,0
10001-027;Beta Corporation 011;C;201;+001 100 700-6521;Beta_Corporation_011@outlook.com;2010-04-14;10001;NY; New York City;720;Meadow St;6,0
10001-028;Digital Electronics 063;D;201;+001 100 276-5989;Digital_Electronics_063@outlook.com;2013-05-02;10001;NY; New York City;721;Elm St;7,0
10001-029;Technologic Inc. 081;D;201;+001 100 659-6809;Technologic_Inc._081@gmail.com.br;2013-04-27;10001;NY; New York City;842;9th St;1,0
10001-030;Father And Sons Store 006;C;201;+001 100 835-2408;Father_And_Sons_Store_006@outlook.com;2016-07-20;10001;NY; New York City;847;2nd St;2,0
10001-031;Beta World 011;D;201;+001 100 740-3923;Beta_World_011@outlook.com;2003-04-04;10001;NY; New York City;902;Cherry St;3,0
10001-032;High Tech World 038;D;201;+001 100 860-3560;High_Tech_World_038@outlook.com;2017-02-25;10001;NY; New York City;919;6th St;4,0
10001-033;Digital World 099;C;201;+001 100 577-2887;Digital_World_099@outlook.com;2012-11-19;10001;NY; New York City;920;Wilson St;5,0
10001-034;Technologic Electronics 063;D;201;+001 100 409-2334;Technologic_Electronics_063@outlook.com;2017-10-09;10001;NY; New York City;973;West St;6,0
10001-035;Computer Electronics 005;B;201;+001 100 114-2484;Computer_Electronics_005@gmail.com.br;2004-08-25;10001;NY; New York City;980;South St;7,0
10001-036;Alpha S.A 047;D;201;+001 100 892-7776;Alpha_S.A_047@outlook.com;2017-11-01;10001;NY; New York City;995;Sunset St;1,0
73301-001;Technologic Electronics 081;D;202;+001 733 906-7442;Technologic_Electronics_081@outlook.com;2020-06-02;73301;TX; Austin;10;Park St;1,0
73301-002;Technologic Electronics 030;C;202;+001 733 447-8701;Technologic_Electronics_030@outlook.com;2009-07-13;73301;TX; Austin;108;Ridge St;2,0
73301-003;Computer Electronics 002;D;202;+001 733 708-3585;Computer_Electronics_002@outlook.com;2002-12-12;73301;TX; Austin;113;8th St;3,0
73301-004;Technologic World 063;D;202;+001 733 346-8795;Technologic_World_063@outlook.com;2018-09-29;73301;TX; Austin;119;Elm St;4,0
73301-005;Father And Sons S.A 054;D;202;+001 733 861-9109;Father_And_Sons_S.A_054@outlook.com;2010-06-23;73301;TX; Austin;147;14th St;5,0
73301-006;Digital Company 003;D;202;+001 733 763-9015;Digital_Company_003@outlook.com;2000-04-19;73301;TX; Austin;168;South St;6,0
73301-007;Alpha Inc. 006;D;202;+001 733 422-3138;Alpha_Inc._006@outlook.com;2019-05-25;73301;TX; Austin;172;Hill St;7,0
73301-008;Genius Inc. 036;B;202;+001 733 730-1632;Genius_Inc._036@outlook.com;2019-10-25;73301;TX; Austin;173;13th St;1,0
73301-009;Digital Store 067;C;202;+001 733 433-7155;Digital_Store_067@outlook.com;2009-06-05;73301;TX; Austin;179;River St;2,0
73301-010;High Tech Solutions 024;B;202;+001 733 340-5698;High_Tech_Solutions_024@outlook.com;2009-09-04;73301;TX; Austin;192;6th St;3,0
73301-011;Father And Sons S.A 029;B;202;+001 733 830-5885;Father_And_Sons_S.A_029@gmail.com.br;2019-01-16;73301;TX; Austin;195;Church St;4,0
73301-012;Computer World 028;D;202;+001 733 797-6530;Computer_World_028@outlook.com;2007-12-05;73301;TX; Austin;203;Dogwood St;5,0
73301-013;Technologic World 100;C;202;+001 733 464-2490;Technologic_World_100@outlook.com;2002-07-14;73301;TX; Austin;214;Center St;6,0
73301-014;Technologic Store 074;D;202;+001 733 594-4239;Technologic_Store_074@gmail.com.br;2014-07-08;73301;TX; Austin;226;Hickory St;7,0
73301-015;Beta Inc. 060;D;202;+001 733 253-8290;Beta_Inc._060@outlook.com;2007-04-20;73301;TX; Austin;23;Highland St;1,0
73301-016;Genius Inc. 023;B;202;+001 733 335-4349;Genius_Inc._023@outlook.com;2009-01-12;73301;TX; Austin;242;13th St;2,0
73301-017;Genius Solutions 012;D;202;+001 733 709-7618;Genius_Solutions_012@outlook.com;2015-07-27;73301;TX; Austin;247;Wilson St;3,0
73301-018;High Tech S.A 043;B;202;+001 733 399-6262;High_Tech_S.A_043@outlook.com;2007-01-25;73301;TX; Austin;248;12th St;4,0
73301-019;Digital Techno 050;B;202;+001 733 721-3035;Digital_Techno_050@outlook.com;2008-02-26;73301;TX; Austin;254;River St;5,0
73301-020;Technologic World 084;C;202;+001 733 109-5458;Technologic_World_084@gmail.com.br;2018-10-28;73301;TX; Austin;257;13th St;6,0
73301-021;Father And Sons Tech 034;A;202;+001 733 416-2115;Father_And_Sons_Tech_034@outlook.com;2000-11-17;73301;TX; Austin;273;4th St;7,0
73301-022;Essential Inc. 036;D;202;+001 733 200-6709;Essential_Inc._036@outlook.com;2020-04-26;73301;TX; Austin;288;Highland St;1,0
73301-023;Technologic Corporation 045;D;202;+001 733 515-3717;Technologic_Corporation_045@gmail.com.br;2000-03-01;73301;TX; Austin;325;4th St;2,0
73301-024;Essential Techno 059;D;202;+001 733 922-5140;Essential_Techno_059@outlook.com;2002-06-02;73301;TX; Austin;326;11th St;3,0
73301-025;Digital Techno 076;A;202;+001 733 767-1380;Digital_Techno_076@outlook.com;2016-06-14;73301;TX; Austin;338;Willow St;4,0
73301-026;Genius Corporation 022;B;202;+001 733 878-8434;Genius_Corporation_022@outlook.com;2002-04-02;73301;TX; Austin;345;River St;5,0
73301-027;High Tech S.A 005;B;202;+001 733 536-3339;High_Tech_S.A_005@outlook.com;2006-10-07;73301;TX; Austin;366;Madison St;6,0
73301-028;Essential World 091;D;202;+001 733 183-7555;Essential_World_091@outlook.com;2004-04-03;73301;TX; Austin;4;Spruce St;7,0
73301-029;Technologic Electronics 068;C;202;+001 733 898-7687;Technologic_Electronics_068@outlook.com;2019-11-25;73301;TX; Austin;414;Hill St;1,0
73301-030;Technologic Tech 043;D;202;+001 733 656-3244;Technologic_Tech_043@outlook.com;2018-11-11;73301;TX; Austin;42;Lakeview St;2,0
73301-031;Father And Sons Inc. 033;C;202;+001 733 443-3988;Father_And_Sons_Inc._033@outlook.com;2000-05-18;73301;TX; Austin;439;1st St;3,0
73301-032;Alpha World 075;D;202;+001 733 898-1774;Alpha_World_075@outlook.com;2012-05-21;73301;TX; Austin;440;Center St;4,0
73301-033;Genius Store 012;D;202;+001 733 345-9824;Genius_Store_012@outlook.com;2001-12-28;73301;TX; Austin;453;Church St;5,0
73301-034;Alpha Company 044;D;202;+001 733 588-2227;Alpha_Company_044@outlook.com;2009-10-22;73301;TX; Austin;456;River St;6,0
73301-035;Essential Solutions 053;B;202;+001 733 737-2723;Essential_Solutions_053@gmail.com.br;2002-08-21;73301;TX; Austin;460;Center St;7,0
73301-036;Digital World 088;A;202;+001 733 929-7740;Digital_World_088@outlook.com;2004-03-24;73301;TX; Austin;470;Elm St;1,0
73301-037;Essential Corporation 044;B;202;+001 733 685-7218;Essential_Corporation_044@outlook.com;2005-12-09;73301;TX; Austin;475;Adams St;2,0
73301-038;Computer Corporation 061;D;202;+001 733 385-5720;Computer_Corporation_061@outlook.com;2006-12-18;73301;TX; Austin;496;Lake St;3,0
73301-039;Alpha Techno 078;D;202;+001 733 173-6870;Alpha_Techno_078@outlook.com;2016-03-15;73301;TX; Austin;50;Hill St;4,0
73301-040;Essential Tech 085;C;202;+001 733 291-4907;Essential_Tech_085@gmail.com.br;2019-09-05;73301;TX; Austin;505;Spruce St;5,0
73301-041;Alpha Inc. 038;C;202;+001 733 593-8313;Alpha_Inc._038@gmail.com.br;2011-05-03;73301;TX; Austin;515;Wilson St;6,0
73301-042;Essential Electronics 049;C;202;+001 733 478-5231;Essential_Electronics_049@gmail.com.br;2003-03-02;73301;TX; Austin;522;Maple St;7,0
73301-043;Computer Solutions 029;C;202;+001 733 725-5088;Computer_Solutions_029@outlook.com;2012-04-11;73301;TX; Austin;527;12th St;1,0
73301-044;Beta Company 042;D;202;+001 733 827-9939;Beta_Company_042@outlook.com;2004-08-30;73301;TX; Austin;530;Center St;2,0
73301-045;Technologic Solutions 030;C;202;+001 733 559-1178;Technologic_Solutions_030@outlook.com;2003-08-30;73301;TX; Austin;537;13th St;3,0
73301-046;High Tech Tech 085;B;202;+001 733 996-6631;High_Tech_Tech_085@gmail.com.br;2001-10-16;73301;TX; Austin;546;6th St;4,0
73301-047;Digital Store 020;D;202;+001 733 660-9424;Digital_Store_020@outlook.com;2012-08-06;73301;TX; Austin;547;5th St;5,0
73301-048;Beta S.A 068;D;202;+001 733 779-9661;Beta_S.A_068@outlook.com;2011-02-07;73301;TX; Austin;550;13th St;6,0
73301-049;Digital Techno 087;A;202;+001 733 604-2523;Digital_Techno_087@gmail.com.br;2009-05-03;73301;TX; Austin;568;Adams St;7,0
73301-050;Father And Sons Corporation 082;C;202;+001 733 453-4470;Father_And_Sons_Corporation_082@outlook.com;2010-09-04;73301;TX; Austin;569;Park St;1,0
73301-051;Genius Tech 084;B;202;+001 733 202-5401;Genius_Tech_084@outlook.com;2011-05-27;73301;TX; Austin;579;Cherry St;2,0
73301-052;Alpha Company 037;D;202;+001 733 400-9553;Alpha_Company_037@outlook.com;2005-09-27;73301;TX; Austin;58;Lake St;3,0
73301-053;Genius Store 055;C;202;+001 733 461-2677;Genius_Store_055@gmail.com.br;2015-12-12;73301;TX; Austin;6;11th St;4,0
73301-054;Genius Company 049;D;202;+001 733 214-4281;Genius_Company_049@outlook.com;2012-08-13;73301;TX; Austin;600;Maple St;5,0
73301-055;Digital Store 007;D;202;+001 733 703-8749;Digital_Store_007@outlook.com;2018-03-28;73301;TX; Austin;61;West St;6,0
73301-056;Alpha Company 065;C;202;+001 733 826-8605;Alpha_Company_065@outlook.com;2016-08-14;73301;TX; Austin;611;13th St;7,0
73301-057;Genius S.A 089;D;202;+001 733 307-4902;Genius_S.A_089@outlook.com;2014-12-28;73301;TX; Austin;618;6th St;1,0
73301-058;Technologic S.A 072;C;202;+001 733 662-3951;Technologic_S.A_072@gmail.com.br;2017-05-27;73301;TX; Austin;623;Jackson St;2,0
73301-059;Alpha Techno 000;D;202;+001 733 864-2956;Alpha_Techno_000@gmail.com.br;2016-07-10;73301;TX; Austin;623;Meadow St;3,0
73301-060;Technologic Techno 054;A;202;+001 733 241-1165;Technologic_Techno_054@outlook.com;2000-11-09;73301;TX; Austin;623;Walnut St;4,0
73301-061;Father And Sons Tech 031;D;202;+001 733 979-9467;Father_And_Sons_Tech_031@outlook.com;2020-06-11;73301;TX; Austin;625;Madison St;5,0
73301-062;High Tech Tech 057;D;202;+001 733 515-2287;High_Tech_Tech_057@outlook.com;2010-11-24;73301;TX; Austin;629;8th St;6,0
73301-063;Father And Sons Corporation 078;C;202;+001 733 474-9758;Father_And_Sons_Corporation_078@outlook.com;2002-01-03;73301;TX; Austin;630;7th St;7,0
73301-064;Technologic Company 055;D;202;+001 733 784-7563;Technologic_Company_055@outlook.com;2014-10-04;73301;TX; Austin;635;Jefferson St;1,0
73301-065;Computer Solutions 043;C;202;+001 733 651-2378;Computer_Solutions_043@outlook.com;2012-06-05;73301;TX; Austin;640;Hill St;2,0
73301-066;Essential S.A 061;D;202;+001 733 755-1750;Essential_S.A_061@gmail.com.br;2019-06-27;73301;TX; Austin;649;River St;3,0
73301-067;Essential S.A 042;C;202;+001 733 581-9178;Essential_S.A_042@outlook.com;2008-08-03;73301;TX; Austin;664;Spruce St;4,0
73301-068;Alpha World 065;A;202;+001 733 394-5108;Alpha_World_065@outlook.com;2018-01-14;73301;TX; Austin;677;7th St;5,0
73301-069;Technologic Tech 055;B;202;+001 733 286-6314;Technologic_Tech_055@outlook.com;2018-08-30;73301;TX; Austin;68;Maple St;6,0
73301-070;Father And Sons Company 003;D;202;+001 733 980-4808;Father_And_Sons_Company_003@outlook.com;2010-06-18;73301;TX; Austin;683;9th St;7,0
73301-071;Technologic Store 067;D;202;+001 733 854-6333;Technologic_Store_067@gmail.com.br;2011-03-16;73301;TX; Austin;690;Pine St;1,0
73301-072;Alpha Electronics 092;C;202;+001 733 160-7760;Alpha_Electronics_092@outlook.com;2000-05-30;73301;TX; Austin;709;Jackson St;2,0
73301-073;Alpha Company 075;D;202;+001 733 253-5091;Alpha_Company_075@outlook.com;2018-11-01;73301;TX; Austin;72;Madison St;3,0
73301-074;High Tech Corporation 061;C;202;+001 733 233-5267;High_Tech_Corporation_061@outlook.com;2013-07-14;73301;TX; Austin;727;Lincoln St;4,0
73301-075;Alpha Corporation 043;B;202;+001 733 745-7259;Alpha_Corporation_043@outlook.com;2005-06-28;73301;TX; Austin;776;Chestnut St;5,0
73301-076;Technologic Techno 084;C;202;+001 733 639-4058;Technologic_Techno_084@outlook.com;2008-11-10;73301;TX; Austin;781;Johnson St;6,0
73301-077;Genius Electronics 064;B;202;+001 733 657-4024;Genius_Electronics_064@outlook.com;2008-03-07;73301;TX; Austin;816;2nd St;7,0
73301-078;Digital Inc. 001;B;202;+001 733 895-1518;Digital_Inc._001@outlook.com;2008-08-03;73301;TX; Austin;819;9th St;1,0
73301-079;Computer Store 049;A;202;+001 733 220-9311;Computer_Store_049@gmail.com.br;2004-07-11;73301;TX; Austin;824;Maple St;2,0
73301-080;Technologic Store 081;D;202;+001 733 105-6147;Technologic_Store_081@outlook.com;2009-12-22;73301;TX; Austin;83;Hill St;3,0
73301-081;High Tech S.A 066;D;202;+001 733 514-8127;High_Tech_S.A_066@outlook.com;2005-03-08;73301;TX; Austin;836;Pine St;4,0
73301-082;Alpha Electronics 080;A;202;+001 733 431-6221;Alpha_Electronics_080@outlook.com;2008-08-13;73301;TX; Austin;837;13th St;5,0
73301-083;Digital Store 050;A;202;+001 733 372-2027;Digital_Store_050@outlook.com;2000-01-25;73301;TX; Austin;837;6th St;6,0
73301-084;Beta Electronics 052;D;202;+001 733 129-3013;Beta_Electronics_052@gmail.com.br;2004-04-25;73301;TX; Austin;844;7th St;7,0
73301-085;Digital World 092;B;202;+001 733 522-5539;Digital_World_092@gmail.com.br;2006-04-19;73301;TX; Austin;855;13th St;1,0
73301-086;Genius S.A 020;C;202;+001 733 880-4582;Genius_S.A_020@outlook.com;2001-02-15;73301;TX; Austin;857;Wilson St;2,0
73301-087;Beta World 063;C;202;+001 733 855-9193;Beta_World_063@outlook.com;2007-02-21;73301;TX; Austin;860;River St;3,0
73301-088;Technologic Solutions 058;B;202;+001 733 194-3581;Technologic_Solutions_058@gmail.com.br;2016-09-21;73301;TX; Austin;918;5th St;4,0
73301-089;Computer Tech 048;C;202;+001 733 690-4407;Computer_Tech_048@gmail.com.br;2005-03-23;73301;TX; Austin;918;Dogwood St;5,0
73301-090;Digital World 071;D;202;+001 733 974-5077;Digital_World_071@outlook.com;2017-11-30;73301;TX; Austin;923;River St;6,0
73301-091;Technologic Tech 072;B;202;+001 733 895-2970;Technologic_Tech_072@gmail.com.br;2019-12-24;73301;TX; Austin;926;Maple St;7,0
73301-092;Computer Solutions 054;D;202;+001 733 421-6561;Computer_Solutions_054@gmail.com.br;2004-05-17;73301;TX; Austin;93;Church St;1,0
73301-093;Computer Techno 010;C;202;+001 733 494-5739;Computer_Techno_010@outlook.com;2000-02-24;73301;TX; Austin;942;Jackson St;2,0
73301-094;Alpha Inc. 077;D;202;+001 733 350-7096;Alpha_Inc._077@outlook.com;2002-05-25;73301;TX; Austin;960;4th St;3,0
73301-095;Technologic World 006;D;202;+001 733 506-6513;Technologic_World_006@outlook.com;2007-03-28;73301;TX; Austin;967;Elm St;4,0
73301-096;Digital Store 009;B;202;+001 733 639-8479;Digital_Store_009@gmail.com.br;2013-08-13;73301;TX; Austin;983;South St;5,0
73301-097;High Tech Company 012;C;202;+001 733 341-3864;High_Tech_Company_012@gmail.com.br;2020-01-10;73301;TX; Austin;990;Highland St;6,0
73301-098;Essential S.A 095;D;202;+001 733 541-7196;Essential_S.A_095@outlook.com;2005-09-15;73301;TX; Austin;997;North St;7,0
90001-001;Alpha Store 078;C;203;+001 900 308-3499;Alpha_Store_078@outlook.com;2002-04-03;90001;CA; Los Angeles;118;Wilson St;1,0
90001-002;Father And Sons Electronics 083;C;203;+001 900 362-9942;Father_And_Sons_Electronics_083@outlook.com;2010-11-30;90001;CA; Los Angeles;124;Johnson St;2,0
90001-003;Digital Solutions 067;A;203;+001 900 570-7068;Digital_Solutions_067@gmail.com.br;2007-11-19;90001;CA; Los Angeles;127;Ridge St;3,0
90001-004;High Tech Solutions 001;B;203;+001 900 195-6580;High_Tech_Solutions_001@gmail.com.br;2014-06-25;90001;CA; Los Angeles;14;4th St;4,0
90001-005;Technologic Electronics 029;C;203;+001 900 773-2446;Technologic_Electronics_029@outlook.com;2014-04-26;90001;CA; Los Angeles;171;Adams St;5,0
90001-006;Genius Corporation 011;C;203;+001 900 397-1607;Genius_Corporation_011@outlook.com;2000-04-08;90001;CA; Los Angeles;172;Main St;6,0
90001-007;Alpha World 081;B;203;+001 900 213-8529;Alpha_World_081@gmail.com.br;2013-01-11;90001;CA; Los Angeles;173;8th St;7,0
90001-008;Computer Store 005;C;203;+001 900 811-3827;Computer_Store_005@outlook.com;2008-03-09;90001;CA; Los Angeles;196;Elm St;1,0
90001-009;Technologic Electronics 097;C;203;+001 900 728-2974;Technologic_Electronics_097@outlook.com;2002-06-14;90001;CA; Los Angeles;199;Hickory St;2,0
90001-010;Essential Tech 098;A;203;+001 900 953-9623;Essential_Tech_098@outlook.com;2004-08-14;90001;CA; Los Angeles;202;14th St;3,0
90001-011;Father And Sons S.A 026;D;203;+001 900 823-1938;Father_And_Sons_S.A_026@outlook.com;2013-06-26;90001;CA; Los Angeles;231;Lakeview St;4,0
90001-012;Alpha Inc. 023;C;203;+001 900 595-8571;Alpha_Inc._023@gmail.com.br;2008-05-17;90001;CA; Los Angeles;234;12th St;5,0
90001-013;Father And Sons S.A 073;C;203;+001 900 541-3764;Father_And_Sons_S.A_073@outlook.com;2017-10-11;90001;CA; Los Angeles;243;Walnut St;6,0
90001-014;High Tech Corporation 017;D;203;+001 900 979-8094;High_Tech_Corporation_017@outlook.com;2003-02-10;90001;CA; Los Angeles;264;Highland St;7,0
90001-015;Beta Store 085;D;203;+001 900 422-3571;Beta_Store_085@outlook.com;2017-01-11;90001;CA; Los Angeles;287;Willow St;1,0
90001-016;Genius Solutions 057;D;203;+001 900 712-8249;Genius_Solutions_057@outlook.com;2019-08-22;90001;CA; Los Angeles;299;13th St;2,0
90001-017;Father And Sons World 020;B;203;+001 900 962-9456;Father_And_Sons_World_020@outlook.com;2019-06-15;90001;CA; Los Angeles;339;Center St;3,0
90001-018;Computer S.A 070;B;203;+001 900 800-6419;Computer_S.A_070@outlook.com;2010-06-26;90001;CA; Los Angeles;401;12th St;4,0
90001-019;Alpha Corporation 083;B;203;+001 900 258-1821;Alpha_Corporation_083@outlook.com;2012-11-10;90001;CA; Los Angeles;41;Cedar St;5,0
90001-020;Technologic Solutions 033;D;203;+001 900 877-4868;Technologic_Solutions_033@outlook.com;2001-01-07;90001;CA; Los Angeles;418;West St;6,0
90001-021;Beta Corporation 082;C;203;+001 900 439-4803;Beta_Corporation_082@gmail.com.br;2017-04-30;90001;CA; Los Angeles;429;10th St;7,0
90001-022;Beta Corporation 047;D;203;+001 900 273-4055;Beta_Corporation_047@outlook.com;2017-04-17;90001;CA; Los Angeles;429;Spruce St;1,0
90001-023;Technologic Company 037;C;203;+001 900 418-6374;Technologic_Company_037@gmail.com.br;2007-02-12;90001;CA; Los Angeles;433;Sunset St;2,0
90001-024;Technologic Inc. 091;C;203;+001 900 869-9879;Technologic_Inc._091@outlook.com;2015-02-02;90001;CA; Los Angeles;44;Sunset St;3,0
90001-025;Father And Sons Techno 027;D;203;+001 900 358-4618;Father_And_Sons_Techno_027@outlook.com;2013-03-04;90001;CA; Los Angeles;447;North St;4,0
90001-026;Father And Sons Inc. 045;C;203;+001 900 445-5630;Father_And_Sons_Inc._045@outlook.com;2003-05-19;90001;CA; Los Angeles;450;Main St;5,0
90001-027;Digital Corporation 056;D;203;+001 900 191-8157;Digital_Corporation_056@outlook.com;2010-01-02;90001;CA; Los Angeles;453;9th St;6,0
90001-028;Beta Corporation 076;D;203;+001 900 164-8435;Beta_Corporation_076@outlook.com;2013-05-30;90001;CA; Los Angeles;459;Maple St;7,0
90001-029;Beta S.A 092;D;203;+001 900 727-5895;Beta_S.A_092@outlook.com;2016-05-21;90001;CA; Los Angeles;47;Lakeview St;1,0
90001-030;Genius Electronics 080;D;203;+001 900 975-1270;Genius_Electronics_080@gmail.com.br;2014-10-10;90001;CA; Los Angeles;476;Maple St;2,0
90001-031;Digital World 093;D;203;+001 900 581-9799;Digital_World_093@outlook.com;2016-11-09;90001;CA; Los Angeles;484;Lakeview St;3,0
90001-032;Alpha World 040;D;203;+001 900 675-3977;Alpha_World_040@outlook.com;2001-11-06;90001;CA; Los Angeles;485;Madison St;4,0
90001-033;Digital Corporation 097;B;203;+001 900 594-2412;Digital_Corporation_097@outlook.com;2012-10-19;90001;CA; Los Angeles;5;2nd St;5,0
90001-034;Technologic Electronics 005;D;203;+001 900 624-5695;Technologic_Electronics_005@gmail.com.br;2004-03-23;90001;CA; Los Angeles;52;Cherry St;6,0
90001-035;High Tech Company 047;D;203;+001 900 325-6015;High_Tech_Company_047@outlook.com;2001-07-26;90001;CA; Los Angeles;523;9th St;7,0
90001-036;Genius Inc. 047;C;203;+001 900 420-1547;Genius_Inc._047@outlook.com;2005-08-13;90001;CA; Los Angeles;528;Maple St;1,0
90001-037;Essential World 006;D;203;+001 900 225-6822;Essential_World_006@outlook.com;2006-10-13;90001;CA; Los Angeles;531;11th St;2,0
90001-038;Digital Electronics 038;B;203;+001 900 285-7094;Digital_Electronics_038@gmail.com.br;2006-01-03;90001;CA; Los Angeles;54;14th St;3,0
90001-039;Essential Tech 058;D;203;+001 900 112-3503;Essential_Tech_058@outlook.com;2014-02-18;90001;CA; Los Angeles;55;Washington St;4,0
90001-040;Beta Inc. 035;D;203;+001 900 588-4445;Beta_Inc._035@outlook.com;2010-02-14;90001;CA; Los Angeles;579;4th St;5,0
90001-041;Alpha Company 092;D;203;+001 900 875-3459;Alpha_Company_092@outlook.com;2011-06-22;90001;CA; Los Angeles;592;Madison St;6,0
90001-042;High Tech Solutions 095;D;203;+001 900 765-3466;High_Tech_Solutions_095@outlook.com;2007-03-10;90001;CA; Los Angeles;603;7th St;7,0
90001-043;Father And Sons Tech 065;D;203;+001 900 738-4543;Father_And_Sons_Tech_065@outlook.com;2002-10-04;90001;CA; Los Angeles;624;9th St;1,0
90001-044;Beta Corporation 097;D;203;+001 900 924-9406;Beta_Corporation_097@gmail.com.br;2007-05-06;90001;CA; Los Angeles;631;Church St;2,0
90001-045;Technologic World 030;C;203;+001 900 923-1070;Technologic_World_030@outlook.com;2015-09-21;90001;CA; Los Angeles;631;Sunset St;3,0
90001-046;Alpha Tech 098;C;203;+001 900 349-9758;Alpha_Tech_098@outlook.com;2005-10-08;90001;CA; Los Angeles;659;Church St;4,0
90001-047;Alpha Company 049;D;203;+001 900 407-2651;Alpha_Company_049@outlook.com;2005-01-19;90001;CA; Los Angeles;660;Chestnut St;5,0
90001-048;Alpha World 059;C;203;+001 900 127-6039;Alpha_World_059@outlook.com;2005-06-24;90001;CA; Los Angeles;666;Wilson St;6,0
90001-049;Alpha Techno 055;B;203;+001 900 323-6644;Alpha_Techno_055@outlook.com;2020-05-16;90001;CA; Los Angeles;669;8th St;7,0
90001-050;Alpha Techno 050;D;203;+001 900 865-7263;Alpha_Techno_050@outlook.com;2007-02-14;90001;CA; Los Angeles;70;Willow St;1,0
90001-051;Genius Company 042;D;203;+001 900 229-5710;Genius_Company_042@outlook.com;2004-10-17;90001;CA; Los Angeles;752;Maple St;2,0
90001-052;Beta Tech 078;C;203;+001 900 434-8632;Beta_Tech_078@outlook.com;2011-12-17;90001;CA; Los Angeles;755;West St;3,0
